#,Cite,Authors,Year,Venue / Type,Category,Key Contribution,Method,Metrics Reported,Limitations / Gaps,Relevance to Thesis,Full IEEE Citation
1,[1],"Lamport, Shostak, Pease",1982,ACM TOPLAS,Foundational,Formalises the Byzantine Generals Problem; proves deterministic BGP is solvable iff n >= 3f+1 and requires at least f+1 rounds.,Theoretical proof,"Fault threshold (n, f), round complexity (f+1 lower bound).",Abstract; no real network model; no performance measurement.,Establishes the 3f+1 bound that every BFT family in this thesis inherits.,"L. Lamport, R. Shostak, and M. Pease, “The Byzantine Generals Problem,” ACM Transactions on Programming Languages and Systems, vol. 4, no. 3, pp. 382–401, 1982."
2,[2],"Fischer, Lynch, Paterson",1985,Journal of the ACM,Foundational,FLP impossibility: no deterministic protocol can guarantee consensus under asynchrony even with a single crash fault.,Theoretical proof,Existence results (safety vs liveness tension).,No constructive protocol; motivates rather than provides a solution.,"Justifies why every family studied here relaxes asynchrony, uses randomness, or adds economic incentives.","M. J. Fischer, N. A. Lynch, and M. S. Paterson, “Impossibility of Distributed Consensus with One Faulty Process,” Journal of the ACM, vol. 32, no. 2, pp. 374–382, 1985."
3,[3],"Dwork, Lynch, Stockmeyer",1988,Journal of the ACM,Foundational,Introduces the partial-synchrony model; shows consensus is solvable under partial synchrony with f < n/3.,Theoretical proof,Bound on f under partial synchrony.,Does not measure real latency/throughput; model rather than system.,"Defines the assumption that PBFT, HotStuff, Tendermint, Casper FFG all adopt.","C. Dwork, N. Lynch, and L. Stockmeyer, “Consensus in the Presence of Partial Synchrony,” Journal of the ACM, vol. 35, no. 2, pp. 288–323, 1988."
4,[4],"Castro, Liskov",1999,OSDI (conference),Protocol,PBFT: first practical BFT state-machine replication protocol with three-phase commit and view change.,Protocol design + LAN implementation,"End-to-end latency (ms on LAN), throughput (ops/s), message complexity O(n^2).",LAN scale (<= 4 replicas evaluated); no WAN / adversarial-delay evaluation.,Canonical baseline for the PBFT family implemented in the simulator.,"M. Castro and B. Liskov, “Practical Byzantine Fault Tolerance,” in Proc. 3rd USENIX Symp. Operating Systems Design and Implementation (OSDI), 1999, pp. 173–186."
5,[5],"Yin, Malkhi, Reiter, Gueta, Abraham",2019,PODC (conference),Protocol,HotStuff: linearises view change to O(n) via threshold signatures; enables responsive leader rotation.,Protocol design + prototype,"Message complexity (O(n)), latency (rounds), throughput under increasing n.",Measures synchronous environments; limited adversarial delay modelling.,Provides the pipelined/linearised PBFT variant used as an optimisation baseline.,"M. Yin, D. Malkhi, M. K. Reiter, G. G. Gueta, and I. Abraham, “HotStuff: BFT Consensus with Linearity and Responsiveness,” in Proc. ACM Symp. Principles of Distributed Computing (PODC), 2019, pp. 347–356."
6,[6],"Buchman, Kwon, Milosevic",2018,2018,Protocol,Tendermint: round-robin leader BFT with locking rule; basis of Cosmos SDK chains.,Protocol specification + operational deployment,"Commit latency (seconds), leader rotation overhead.",Not peer-reviewed journal venue; production data anecdotal.,Reference for simplified PBFT-family implementation with round-robin leaders in the simulator.,"E. Buchman, J. Kwon, and Z. Milosevic, “The Latest Gossip on BFT Consensus,” arXiv preprint arXiv:1807.04938, 2018."
7,[7],"Buterin, Griffith",2017,arXiv (widely cited; deployed in Ethereum),Protocol,Casper FFG: BFT finality gadget overlay on a blockchain; accountable safety via slashing.,Protocol specification + formal properties,"Time-to-finality (epochs), fault threshold by stake (>= 1/3).",Does not measure implementation performance; accountability proof only.,Canonical PoS-finality reference for the simulator's finality-gadget module.,"V. Buterin and V. Griffith, “Casper the Friendly Finality Gadget,” arXiv preprint arXiv:1710.09437, 2017."
8,[8],"Buterin, Hernandez, Kamphefner, Pham, Qiao, Ryan, Sin, Wang, Zhang",2020,arXiv (Ethereum 2 spec),Protocol,Gasper: combines LMD-GHOST fork choice with Casper FFG finality; full Ethereum 2 PoS protocol.,Protocol specification,"Time-to-finality (epochs), reorg depth under attestation delay.",No standalone empirical evaluation; analyses are partial.,Reference for fork-choice interaction with finality in PoS simulator experiments.,"V. Buterin et al., “Combining GHOST and Casper,” arXiv preprint arXiv:2003.03052, 2020."
9,[9],"Team Rocket, Yin, Sekniqi, van Renesse, Sirer",2019,arXiv (widely cited; basis of Avalanche network),Protocol,Snowflake-to-Avalanche family: probabilistic BFT via repeated random subsampling; tunable finality epsilon.,Protocol design + testnet experiments,"Time-to-finality (~1.35 s reported), throughput (~3.4 ktps reported on testnet), safety probability vs Byzantine fraction.",Original analysis informal; later formal work has refined and partially weakened the bounds.,Canonical reference for the Avalanche-style sampling protocol implemented in the simulator.,"Team Rocket, M. Yin, K. Sekniqi, R. van Renesse, and E. G. Sirer, “Scalable and Probabilistic Leaderless BFT Consensus through Metastability,” arXiv preprint arXiv:1906.08936, 2019."
10,[10],"Amores-Sesar, Cachin, Schneider",2024,arXiv (formal analysis),Protocol,Rigorous analysis of Avalanche that identifies conditions under which liveness degrades more than previously claimed.,Formal analysis + adversary modelling,Safety probability bounds; liveness conditions vs adversary strength.,Theoretical; no new protocol proposed.,Critical companion to [9] for balanced treatment of Avalanche's security claims in Chapter 2.,"I. Amores-Sesar, C. Cachin, and P. Schneider, “An Analysis of Avalanche Consensus,” arXiv preprint arXiv:2401.02811, 2024."
11,[11],"Danezis, Kokoris-Kogias, Sonnino, Spiegelman",2022,EuroSys (conference),Protocol,Narwhal + Tusk: DAG-based mempool separates data availability from ordering; throughput ~140 ktps reported.,Protocol design + WAN deployment,"Throughput (ktps), end-to-end latency (seconds), message count per block.",Throughput numbers depend on batching and hardware; workload-specific.,Reference implementation target for the DAG-based module in the simulator.,"G. Danezis, L. Kokoris-Kogias, A. Sonnino, and A. Spiegelman, “Narwhal and Tusk: A DAG-based Mempool and Efficient BFT Consensus,” in Proc. 17th European Conference on Computer Systems (EuroSys), 2022, pp. 34–50."
12,[12],"Spiegelman, Giridharan, Sonnino, Kokoris-Kogias",2022,CCS (conference),Protocol,Bullshark: partially-synchronous fast-path DAG BFT with 2-round commit; simpler than Narwhal/Tusk.,Protocol design + implementation (~200 LoC on Narwhal),"Commit latency (rounds), throughput under synchrony, simplicity LoC.",Not peer-reviewed formal safety proof in main paper; asynchronous fallback complex.,Refines the DAG-based implementation strategy for the simulator's DAG module.,"A. Spiegelman, N. Giridharan, A. Sonnino, and L. Kokoris-Kogias, “Bullshark: DAG BFT Protocols Made Practical,” in Proc. ACM Conf. Computer and Communications Security (CCS), 2022, pp. 2705–2718."
13,[13],"Babel, Chursin, Danezis, Kokoris-Kogias, Sonnino",2023,arXiv (deployed in Sui),Protocol,"Mysticeti: uncertified DAG consensus reaching the 3-round BFT latency lower bound; >200 ktps, ~0.5 s WAN latency reported.",Protocol design + WAN prototype + production deployment on Sui,"Commit latency (ms), throughput (ktps), round count.",Production-centric; vendor-reported numbers; newer protocol with limited independent verification.,Current state-of-the-art DAG-based reference for upper-bound throughput comparison in Chapter 5.,"K. Babel, A. Chursin, G. Danezis, L. Kokoris-Kogias, and A. Sonnino, “Mysticeti: Reaching the Latency Limits with Uncertified DAGs,” arXiv preprint arXiv:2310.14821, 2023."
14,[14],"Bano, Sonnino, Al-Bassam, Azouvi, McCorry, Meiklejohn, Danezis",2019,AFT (conference),Survey,"SoK: systematises blockchain consensus into PoW, proof-of-X, and hybrid/classical BFT families; defines evaluation axes.",Systematisation of knowledge,"Taxonomy of security and performance axes (throughput, latency, fault model, incentive).",Published in 2019; excludes recent DAG-based and Avalanche developments.,Primary taxonomic anchor for Chapter 2's literature framing.,"S. Bano, A. Sonnino, M. Al-Bassam, S. Azouvi, P. McCorry, S. Meiklejohn, and G. Danezis, “SoK: Consensus in the Age of Blockchains,” in Proc. 1st ACM Conf. Advances in Financial Technologies (AFT), 2019, pp. 183–198."
15,[15],"Xiao, Zhang, Lou, Hou",2020,IEEE Commun. Surveys & Tutorials,Survey,"Comprehensive survey comparing Nakamoto, PoS, BFT-based and hybrid consensus protocols with quantitative metrics.",Literature review + comparative analysis,"Throughput (tps), latency, fault tolerance, scalability ranges per family.",Pre-dates Narwhal/Tusk/Mysticeti; quantitative ranges are aggregated across inconsistent source measurements.,Primary source of reported-metric ranges for the comparative table in the thesis.,"Y. Xiao, N. Zhang, W. Lou, and Y. T. Hou, “A Survey of Distributed Consensus Protocols for Blockchain Networks,” IEEE Communications Surveys & Tutorials, vol. 22, no. 2, pp. 1432–1465, 2020."
16,[16],"Cachin, Vukolic",2017,DISC keynote / arXiv,Survey,Reviews consensus protocols in permissioned blockchains; advocates formal models and public review of BFT claims.,Expert review / keynote,"Qualitative comparison of fault model, trust model, safety/liveness.",Qualitative; no quantitative benchmark.,Methodological anchor: motivates the rigorous evaluation that this thesis performs quantitatively.,"C. Cachin and M. Vukolic, “Blockchain Consensus Protocols in the Wild,” arXiv preprint arXiv:1707.01873, 2017."
17,[17],"Gervais, Karame, Wuest, Glykantzis, Ritzdorf, Capkun",2016,CCS (conference),Empirical,Quantitative framework for PoW security and performance; studies effect of block size and propagation delay on throughput and selfish-mining profitability.,Simulation framework + empirical measurement,"Throughput (tps) vs block interval, stale-block rate, double-spend / selfish-mining success probability.",Focused on PoW; does not cover BFT/PoS/DAG families.,"Methodological precedent for simulation-based, metrics-instrumented comparative evaluation — the same approach this thesis applies to BFT families.","A. Gervais, G. O. Karame, K. Wüst, V. Glykantzis, H. Ritzdorf, and S. Capkun, “On the Security and Performance of Proof of Work Blockchains,” in Proc. ACM Conf. Computer and Communications Security (CCS), 2016, pp. 3–16."