run_id,protocol,n,n_runs,commit_latency_ms_mean,commit_latency_ms_ci_lo,commit_latency_ms_ci_hi,commit_latency_ms_cv,tps_mean,tps_ci_lo,tps_ci_hi,tps_cv,goodput_mean,goodput_ci_lo,goodput_ci_hi,goodput_cv,consensus_msgs_per_acu_mean,consensus_msgs_per_acu_ci_lo,consensus_msgs_per_acu_ci_hi,consensus_msgs_per_acu_cv,total_msgs_per_acu_mean,total_msgs_per_acu_ci_lo,total_msgs_per_acu_ci_hi,total_msgs_per_acu_cv,bytes_per_acu_mean,bytes_per_acu_ci_lo,bytes_per_acu_ci_hi,bytes_per_acu_cv,success_rate_mean,success_rate_ci_lo,success_rate_ci_hi,success_rate_cv,fork_rate_mean,fork_rate_ci_lo,fork_rate_ci_hi,fork_rate_cv
casper-ffg-n4-nonuniform,casper-ffg,4,20,5000.000001,5000.000001,5000.000001,0.0,1.6,1.6,1.6,0.0,79.635,78.818253,80.451747,2.1914,5.15625,5.15625,5.15625,0.0,5.15625,5.15625,5.15625,0.0,92125.125,92125.125,92125.125,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
casper-ffg-n4-uniform,casper-ffg,4,20,5000.000001,5000.000001,5000.000001,0.0,1.6,1.6,1.6,0.0,79.635,78.818253,80.451747,2.1914,5.15625,5.15625,5.15625,0.0,5.15625,5.15625,5.15625,0.0,92125.125,92125.125,92125.125,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
casper-ffg-n7-uniform,casper-ffg,7,20,5000.000001,5000.000001,5000.000001,0.0,2.8,2.8,2.8,0.0,79.635,78.818253,80.451747,2.1914,8.785714,8.785714,8.785714,0.0,8.785714,8.785714,8.785714,0.0,105852.857143,105852.857143,105852.857143,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
casper-ffg-n10-uniform,casper-ffg,10,20,5000.000001,5000.000001,5000.000001,0.0,4.0,4.0,4.0,0.0,79.635,78.818253,80.451747,2.1914,12.2625,12.2625,12.2625,0.0,12.2625,12.2625,12.2625,0.0,111740.85,111740.85,111740.85,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
casper-ffg-n16-uniform,casper-ffg,16,20,5000.000001,5000.000001,5000.000001,0.0,6.4,6.4,6.4,0.0,79.635,78.818253,80.451747,2.1914,19.101562,19.101562,19.101562,0.0,19.101562,19.101562,19.101562,0.0,117637.03125,117637.03125,117637.03125,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
casper-ffg-n25-uniform,casper-ffg,25,20,5000.000001,5000.000001,5000.000001,0.0,10.0,10.0,10.0,0.0,79.635,78.818253,80.451747,2.1914,29.28,29.28,29.28,0.0,29.28,29.28,29.28,0.0,122365.44,122365.44,122365.44,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
pbft-n4,pbft,4,20,1000.000003,1000.000003,1000.000003,0.0,3.8,3.8,3.8,0.0,94.82,93.813841,95.826159,2.2673,7.5,7.5,7.5,0.0,7.5,7.5,7.5,0.0,38763.0,38763.0,38763.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
pbft-n7,pbft,7,20,1000.000003,1000.000003,1000.000003,0.0,6.65,6.65,6.65,0.0,94.82,93.813841,95.826159,2.2673,13.714286,13.714286,13.714286,0.0,13.714286,13.714286,13.714286,0.0,44547.428571,44547.428571,44547.428571,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
pbft-n10,pbft,10,20,1000.000003,1000.000003,1000.000003,0.0,9.5,9.5,9.5,0.0,94.82,93.813841,95.826159,2.2673,19.8,19.8,19.8,0.0,19.8,19.8,19.8,0.0,47034.0,47034.0,47034.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
pbft-n16,pbft,16,20,1000.000003,1000.000003,1000.000003,0.0,15.2,15.2,15.2,0.0,94.82,93.813841,95.826159,2.2673,31.875,31.875,31.875,0.0,31.875,31.875,31.875,0.0,49533.75,49533.75,49533.75,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
pbft-n25,pbft,25,20,1000.000003,1000.000003,1000.000003,0.0,23.75,23.75,23.75,0.0,94.82,93.813841,95.826159,2.2673,49.92,49.92,49.92,0.0,49.92,49.92,49.92,0.0,51552.0,51552.0,51552.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
snowman-n7,snowman,7,20,1000.000046,1000.000046,1000.000046,0.0,6.65,6.65,6.65,0.0,94.82,93.813841,95.826159,2.2673,180.857143,180.857143,180.857143,0.0,180.857143,180.857143,180.857143,0.0,51144.0,51144.0,51144.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
snowman-n10,snowman,10,20,1000.000046,1000.000046,1000.000046,0.0,9.5,9.5,9.5,0.0,94.82,93.813841,95.826159,2.2673,270.9,270.9,270.9,0.0,270.9,270.9,270.9,0.0,56941.2,56941.2,56941.2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
snowman-n16,snowman,16,20,1000.000046,1000.000046,1000.000046,0.0,15.2,15.2,15.2,0.0,94.82,93.813841,95.826159,2.2673,450.9375,450.9375,450.9375,0.0,450.9375,450.9375,450.9375,0.0,66063.75,66063.75,66063.75,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
snowman-n25,snowman,25,20,1000.000046,1000.000046,1000.000046,0.0,23.75,23.75,23.75,0.0,94.82,93.813841,95.826159,2.2673,600.96,600.96,600.96,0.0,600.96,600.96,600.96,0.0,73217.28,73217.28,73217.28,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
