run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K
casper-ffg-n4-nonuniform,casper-ffg,4,0,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,77.400000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,1,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.450000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,2,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.500000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,3,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,81.050000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,4,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,77.300000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,5,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.100000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,6,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.700000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,7,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,81.100000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,8,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,82.250000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,9,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.550000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,10,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.000000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,11,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,81.050000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,12,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.150000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,13,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.800000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,14,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,77.650000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,15,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,82.000000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,16,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,82.400000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,17,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.450000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,18,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,79.600000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,19,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,77.200000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,0,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,77.400000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,1,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.450000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,2,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.500000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,3,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,81.050000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,4,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,77.300000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,5,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.100000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,6,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.700000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,7,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,81.100000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,8,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,82.250000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,9,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.550000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,10,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.000000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,11,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,81.050000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,12,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.150000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,13,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.800000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,14,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,77.650000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,15,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,82.000000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,16,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,82.400000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,17,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.450000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,18,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,79.600000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-uniform,casper-ffg,4,19,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,77.200000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,0,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,77.400000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,1,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,78.450000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,2,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,80.500000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,3,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,81.050000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,4,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,77.300000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,5,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,80.100000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,6,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,80.700000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,7,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,81.100000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,8,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,82.250000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,9,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,80.550000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,10,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,78.000000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,11,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,81.050000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,12,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,78.150000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,13,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,78.800000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,14,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,77.650000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,15,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,82.000000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,16,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,82.400000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,17,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,78.450000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,18,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,79.600000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n7-uniform,casper-ffg,7,19,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,2.800000,77.200000,8.785714,8.785714,105852.857143,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,0,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,77.400000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,1,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,78.450000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,2,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,80.500000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,3,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,81.050000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,4,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,77.300000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,5,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,80.100000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,6,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,80.700000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,7,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,81.100000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,8,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,82.250000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,9,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,80.550000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,10,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,78.000000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,11,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,81.050000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,12,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,78.150000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,13,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,78.800000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,14,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,77.650000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,15,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,82.000000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,16,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,82.400000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,17,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,78.450000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,18,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,79.600000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n10-uniform,casper-ffg,10,19,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,4.000000,77.200000,12.262500,12.262500,111740.850000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,0,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,77.400000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,1,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,78.450000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,2,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,80.500000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,3,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,81.050000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,4,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,77.300000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,5,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,80.100000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,6,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,80.700000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,7,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,81.100000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,8,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,82.250000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,9,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,80.550000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,10,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,78.000000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,11,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,81.050000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,12,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,78.150000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n16-uniform,casper-ffg,16,13,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,6.400000,78.800000,19.101562,19.101562,117637.031250,1.000000,0.000000,nan,nan,nan,nan,nan
