run_id,protocol,n,seed,commit_hash,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu
casper-ffg-n4-nonuniform,casper-ffg,4,0,24a491a4,5000.000001000,5000.000001000,1.600000,77.400000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,1,24a491a4,5000.000001000,5000.000001000,1.600000,78.450000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,2,24a491a4,5000.000001000,5000.000001000,1.600000,80.500000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,3,24a491a4,5000.000001000,5000.000001000,1.600000,81.050000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,4,24a491a4,5000.000001000,5000.000001000,1.600000,77.300000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,5,24a491a4,5000.000001000,5000.000001000,1.600000,80.100000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,6,24a491a4,5000.000001000,5000.000001000,1.600000,80.700000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,7,24a491a4,5000.000001000,5000.000001000,1.600000,81.100000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,8,24a491a4,5000.000001000,5000.000001000,1.600000,82.250000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,9,24a491a4,5000.000001000,5000.000001000,1.600000,80.550000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,10,24a491a4,5000.000001000,5000.000001000,1.600000,78.000000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,11,24a491a4,5000.000001000,5000.000001000,1.600000,81.050000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,12,24a491a4,5000.000001000,5000.000001000,1.600000,78.150000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,13,24a491a4,5000.000001000,5000.000001000,1.600000,78.800000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,14,24a491a4,5000.000001000,5000.000001000,1.600000,77.650000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,15,24a491a4,5000.000001000,5000.000001000,1.600000,82.000000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,16,24a491a4,5000.000001000,5000.000001000,1.600000,82.400000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,17,24a491a4,5000.000001000,5000.000001000,1.600000,78.450000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,18,24a491a4,5000.000001000,5000.000001000,1.600000,79.600000,5.156250,5.156250,92125.125000
casper-ffg-n4-nonuniform,casper-ffg,4,19,24a491a4,5000.000001000,5000.000001000,1.600000,77.200000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,0,24a491a4,5000.000001000,5000.000001000,1.600000,77.400000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,1,24a491a4,5000.000001000,5000.000001000,1.600000,78.450000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,2,24a491a4,5000.000001000,5000.000001000,1.600000,80.500000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,3,24a491a4,5000.000001000,5000.000001000,1.600000,81.050000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,4,24a491a4,5000.000001000,5000.000001000,1.600000,77.300000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,5,24a491a4,5000.000001000,5000.000001000,1.600000,80.100000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,6,24a491a4,5000.000001000,5000.000001000,1.600000,80.700000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,7,24a491a4,5000.000001000,5000.000001000,1.600000,81.100000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,8,24a491a4,5000.000001000,5000.000001000,1.600000,82.250000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,9,24a491a4,5000.000001000,5000.000001000,1.600000,80.550000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,10,24a491a4,5000.000001000,5000.000001000,1.600000,78.000000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,11,24a491a4,5000.000001000,5000.000001000,1.600000,81.050000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,12,24a491a4,5000.000001000,5000.000001000,1.600000,78.150000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,13,24a491a4,5000.000001000,5000.000001000,1.600000,78.800000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,14,24a491a4,5000.000001000,5000.000001000,1.600000,77.650000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,15,24a491a4,5000.000001000,5000.000001000,1.600000,82.000000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,16,24a491a4,5000.000001000,5000.000001000,1.600000,82.400000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,17,24a491a4,5000.000001000,5000.000001000,1.600000,78.450000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,18,24a491a4,5000.000001000,5000.000001000,1.600000,79.600000,5.156250,5.156250,92125.125000
casper-ffg-n4-uniform,casper-ffg,4,19,24a491a4,5000.000001000,5000.000001000,1.600000,77.200000,5.156250,5.156250,92125.125000
casper-ffg-n7-uniform,casper-ffg,7,0,24a491a4,5000.000001000,5000.000001000,2.800000,77.400000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,1,24a491a4,5000.000001000,5000.000001000,2.800000,78.450000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,2,24a491a4,5000.000001000,5000.000001000,2.800000,80.500000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,3,24a491a4,5000.000001000,5000.000001000,2.800000,81.050000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,4,24a491a4,5000.000001000,5000.000001000,2.800000,77.300000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,5,24a491a4,5000.000001000,5000.000001000,2.800000,80.100000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,6,24a491a4,5000.000001000,5000.000001000,2.800000,80.700000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,7,24a491a4,5000.000001000,5000.000001000,2.800000,81.100000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,8,24a491a4,5000.000001000,5000.000001000,2.800000,82.250000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,9,24a491a4,5000.000001000,5000.000001000,2.800000,80.550000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,10,24a491a4,5000.000001000,5000.000001000,2.800000,78.000000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,11,24a491a4,5000.000001000,5000.000001000,2.800000,81.050000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,12,24a491a4,5000.000001000,5000.000001000,2.800000,78.150000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,13,24a491a4,5000.000001000,5000.000001000,2.800000,78.800000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,14,24a491a4,5000.000001000,5000.000001000,2.800000,77.650000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,15,24a491a4,5000.000001000,5000.000001000,2.800000,82.000000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,16,24a491a4,5000.000001000,5000.000001000,2.800000,82.400000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,17,24a491a4,5000.000001000,5000.000001000,2.800000,78.450000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,18,24a491a4,5000.000001000,5000.000001000,2.800000,79.600000,8.785714,8.785714,105852.857143
casper-ffg-n7-uniform,casper-ffg,7,19,24a491a4,5000.000001000,5000.000001000,2.800000,77.200000,8.785714,8.785714,105852.857143
casper-ffg-n10-uniform,casper-ffg,10,0,24a491a4,5000.000001000,5000.000001000,4.000000,77.400000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,1,24a491a4,5000.000001000,5000.000001000,4.000000,78.450000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,2,24a491a4,5000.000001000,5000.000001000,4.000000,80.500000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,3,24a491a4,5000.000001000,5000.000001000,4.000000,81.050000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,4,24a491a4,5000.000001000,5000.000001000,4.000000,77.300000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,5,24a491a4,5000.000001000,5000.000001000,4.000000,80.100000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,6,24a491a4,5000.000001000,5000.000001000,4.000000,80.700000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,7,24a491a4,5000.000001000,5000.000001000,4.000000,81.100000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,8,24a491a4,5000.000001000,5000.000001000,4.000000,82.250000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,9,24a491a4,5000.000001000,5000.000001000,4.000000,80.550000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,10,24a491a4,5000.000001000,5000.000001000,4.000000,78.000000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,11,24a491a4,5000.000001000,5000.000001000,4.000000,81.050000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,12,24a491a4,5000.000001000,5000.000001000,4.000000,78.150000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,13,24a491a4,5000.000001000,5000.000001000,4.000000,78.800000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,14,24a491a4,5000.000001000,5000.000001000,4.000000,77.650000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,15,24a491a4,5000.000001000,5000.000001000,4.000000,82.000000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,16,24a491a4,5000.000001000,5000.000001000,4.000000,82.400000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,17,24a491a4,5000.000001000,5000.000001000,4.000000,78.450000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,18,24a491a4,5000.000001000,5000.000001000,4.000000,79.600000,12.262500,12.262500,111740.850000
casper-ffg-n10-uniform,casper-ffg,10,19,24a491a4,5000.000001000,5000.000001000,4.000000,77.200000,12.262500,12.262500,111740.850000
casper-ffg-n16-uniform,casper-ffg,16,0,24a491a4,5000.000001000,5000.000001000,6.400000,77.400000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,1,24a491a4,5000.000001000,5000.000001000,6.400000,78.450000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,2,24a491a4,5000.000001000,5000.000001000,6.400000,80.500000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,3,24a491a4,5000.000001000,5000.000001000,6.400000,81.050000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,4,24a491a4,5000.000001000,5000.000001000,6.400000,77.300000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,5,24a491a4,5000.000001000,5000.000001000,6.400000,80.100000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,6,24a491a4,5000.000001000,5000.000001000,6.400000,80.700000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,7,24a491a4,5000.000001000,5000.000001000,6.400000,81.100000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,8,24a491a4,5000.000001000,5000.000001000,6.400000,82.250000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,9,24a491a4,5000.000001000,5000.000001000,6.400000,80.550000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,10,24a491a4,5000.000001000,5000.000001000,6.400000,78.000000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,11,24a491a4,5000.000001000,5000.000001000,6.400000,81.050000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,12,24a491a4,5000.000001000,5000.000001000,6.400000,78.150000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,13,24a491a4,5000.000001000,5000.000001000,6.400000,78.800000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,14,24a491a4,5000.000001000,5000.000001000,6.400000,77.650000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,15,24a491a4,5000.000001000,5000.000001000,6.400000,82.000000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,16,24a491a4,5000.000001000,5000.000001000,6.400000,82.400000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,17,24a491a4,5000.000001000,5000.000001000,6.400000,78.450000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,18,24a491a4,5000.000001000,5000.000001000,6.400000,79.600000,19.101562,19.101562,117637.031250
casper-ffg-n16-uniform,casper-ffg,16,19,24a491a4,5000.000001000,5000.000001000,6.400000,77.200000,19.101562,19.101562,117637.031250
casper-ffg-n25-uniform,casper-ffg,25,0,24a491a4,5000.000001000,5000.000001000,10.000000,77.400000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,1,24a491a4,5000.000001000,5000.000001000,10.000000,78.450000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,2,24a491a4,5000.000001000,5000.000001000,10.000000,80.500000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,3,24a491a4,5000.000001000,5000.000001000,10.000000,81.050000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,4,24a491a4,5000.000001000,5000.000001000,10.000000,77.300000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,5,24a491a4,5000.000001000,5000.000001000,10.000000,80.100000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,6,24a491a4,5000.000001000,5000.000001000,10.000000,80.700000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,7,24a491a4,5000.000001000,5000.000001000,10.000000,81.100000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,8,24a491a4,5000.000001000,5000.000001000,10.000000,82.250000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,9,24a491a4,5000.000001000,5000.000001000,10.000000,80.550000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,10,24a491a4,5000.000001000,5000.000001000,10.000000,78.000000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,11,24a491a4,5000.000001000,5000.000001000,10.000000,81.050000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,12,24a491a4,5000.000001000,5000.000001000,10.000000,78.150000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,13,24a491a4,5000.000001000,5000.000001000,10.000000,78.800000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,14,24a491a4,5000.000001000,5000.000001000,10.000000,77.650000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,15,24a491a4,5000.000001000,5000.000001000,10.000000,82.000000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,16,24a491a4,5000.000001000,5000.000001000,10.000000,82.400000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,17,24a491a4,5000.000001000,5000.000001000,10.000000,78.450000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,18,24a491a4,5000.000001000,5000.000001000,10.000000,79.600000,29.280000,29.280000,122365.440000
casper-ffg-n25-uniform,casper-ffg,25,19,24a491a4,5000.000001000,5000.000001000,10.000000,77.200000,29.280000,29.280000,122365.440000
pbft-n4,pbft,4,0,24a491a4,1000.000003000,1000.000004000,3.800000,92.850000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,1,24a491a4,1000.000003000,1000.000004000,3.800000,94.350000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,2,24a491a4,1000.000003000,1000.000004000,3.800000,95.100000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,3,24a491a4,1000.000003000,1000.000004000,3.800000,95.850000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,4,24a491a4,1000.000003000,1000.000004000,3.800000,92.650000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,5,24a491a4,1000.000003000,1000.000004000,3.800000,97.350000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,6,24a491a4,1000.000003000,1000.000004000,3.800000,97.050000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,7,24a491a4,1000.000003000,1000.000004000,3.800000,95.500000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,8,24a491a4,1000.000003000,1000.000004000,3.800000,97.500000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,9,24a491a4,1000.000003000,1000.000004000,3.800000,95.900000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,10,24a491a4,1000.000003000,1000.000004000,3.800000,92.300000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,11,24a491a4,1000.000003000,1000.000004000,3.800000,96.500000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,12,24a491a4,1000.000003000,1000.000004000,3.800000,92.500000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,13,24a491a4,1000.000003000,1000.000004000,3.800000,93.300000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,14,24a491a4,1000.000003000,1000.000004000,3.800000,91.400000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,15,24a491a4,1000.000003000,1000.000004000,3.800000,97.900000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,16,24a491a4,1000.000003000,1000.000004000,3.800000,97.600000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,17,24a491a4,1000.000003000,1000.000004000,3.800000,92.800000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,18,24a491a4,1000.000003000,1000.000004000,3.800000,95.800000,7.500000,7.500000,38763.000000
pbft-n4,pbft,4,19,24a491a4,1000.000003000,1000.000004000,3.800000,92.200000,7.500000,7.500000,38763.000000
pbft-n7,pbft,7,0,24a491a4,1000.000003000,1000.000004000,6.650000,92.850000,13.714286,13.714286,44547.428571
pbft-n7,pbft,7,1,24a491a4,1000.000003000,1000.000004000,6.650000,94.350000,13.714286,13.714286,44547.428571
